age,location,language,success
22,Rural,English,False
38,Urban,English,False
77,Rural,English,True
69,Urban,English,True
72,Rural,English,False
48,Rural,Hindi,False
60,Urban,English,False
62,Rural,English,False
54,Rural,English,False
56,Urban,English,True
59,Urban,Hindi,False
18,Rural,English,True
29,Rural,Hindi,False
48,Rural,English,True
22,Rural,English,True
47,Urban,English,True
46,Urban,English,False
44,Rural,Hindi,False
19,Rural,Hindi,True
26,Rural,English,True
58,Rural,English,True
41,Urban,Hindi,False
66,Rural,Hindi,False
32,Rural,Hindi,False
39,Urban,English,True
77,Urban,Hindi,False
68,Urban,English,False
20,Urban,Hindi,True
31,Urban,Hindi,True
44,Urban,Hindi,False
23,Rural,Hindi,True
42,Urban,English,True
41,Rural,Hindi,True
26,Urban,English,False
30,Urban,English,False
65,Rural,Hindi,True
68,Rural,English,False
32,Urban,Hindi,True
37,Rural,Hindi,True
66,Urban,Hindi,True
35,Rural,Hindi,False
23,Urban,Hindi,True
23,Urban,Hindi,True
56,Urban,Hindi,False
68,Rural,English,False
40,Urban,English,True
19,Urban,Hindi,False
35,Rural,Hindi,False
38,Urban,Hindi,False
58,Urban,Hindi,True
49,Rural,Hindi,True
27,Rural,Hindi,True
34,Urban,Hindi,True
33,Urban,English,True
57,Urban,Hindi,True
79,Rural,Hindi,True
48,Urban,Hindi,False
72,Urban,Hindi,False
36,Urban,Hindi,True
44,Urban,Hindi,False
73,Urban,Hindi,True
30,Rural,Hindi,False
65,Rural,English,False
47,Rural,English,False
25,Rural,Hindi,False
25,Rural,Hindi,False
47,Urban,Hindi,False
73,Urban,English,False
62,Urban,Hindi,False
36,Urban,Hindi,True
37,Rural,English,True
31,Rural,Hindi,True
58,Urban,English,False
72,Urban,English,False
32,Rural,Hindi,True
46,Rural,Hindi,True
24,Rural,Hindi,False
23,Urban,English,False
68,Urban,English,True
46,Rural,Hindi,True
79,Rural,Hindi,True
63,Rural,Hindi,True
53,Urban,Hindi,False
67,Rural,Hindi,True
64,Urban,English,True
33,Rural,Hindi,True
52,Rural,English,False
57,Rural,English,False
78,Rural,English,True
20,Urban,Hindi,False
41,Rural,Hindi,False
47,Rural,Hindi,False
63,Urban,English,True
24,Urban,English,False
32,Rural,English,True
65,Urban,Hindi,False
64,Urban,Hindi,True
30,Rural,Hindi,True
73,Rural,English,False
46,Urban,Hindi,False
